id,tvshow_id,words
3c9c4a1c-4a68-42c2-9801-3541fa9612a1,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Bring me your torch
5211f8ed-303b-44a6-aef9-4f9d3142332d,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Come on in!
feb8592b-22ca-4349-a676-fab5ca07bdb6,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Drop your buffs
659919e1-2211-4332-82c9-5b9d748951d5,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,First look at the new tribe
e77194ba-c9db-457c-b158-068c1660ae50,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,First things first
8be0fc7f-3b15-4a24-9a49-9bbb4b7a8e51,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Get some water
c48e43d2-3ef4-490d-98c2-0a47c0761a5c,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Got nothing for you
712f1390-2688-4bbd-a236-3113b417db27,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Head back to camp
b9107f93-e97c-42f0-8ef0-ebb842ebcb3d,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,I'll go tally the votes
a15ff200-1e09-490c-aa8c-9554402dc11e,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Immunity idol
580073e5-e112-481c-9be4-24edd5b20e63,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,It is time to vote
9c61c3c4-19b3-49f4-a854-367e1532ffda,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Make Fire
f96b02fe-0a46-4931-b48c-31cbd5339357,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Members of the jury
a3ed29be-bfc5-4399-9143-5e8ef1176164,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,One in X chance
ee18d0bf-3fef-4a50-905d-7191e564215a,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Rice
27f28a9a-0174-4565-b2bf-5f88ed90a78d,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Scenes from our next episode
ee454cd0-e7f9-4119-b8c5-19215d62971d,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Sole survivor
631b7f1d-2e31-4c3d-9a53-d0358a930d9b,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Survivors ready...go!
edfa65e2-9038-4972-9074-d3867ee2b4b0,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Switch tribes
c3556208-f06e-4c09-8dd7-ff814b441f56,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Take your spots
9f3c52c3-005c-4432-a07d-810ccbbfce23,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,The challenge is on
ef65ed22-d984-47de-9a3d-d392e34b7bd1,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,The tribe has spoken
4406686b-6938-4547-8618-b19d5daeb382,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Time for you to go
a079f45a-80b7-47e0-9d3a-f29dd378344e,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Tribal (Council)
73ffba51-c45c-40d8-b06b-ae7506e5ef5f,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Want to see what you're playing for?
1a6575ba-8f9f-46e2-8a22-517f34ee71d5,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,We're Tied
e18c73eb-7731-4927-b710-f3e9f4842cf0,4c5e8fb1-b3e8-42f7-aabe-fd1950ca9c98,Worth playing for?'
