id,tvshow_id,words
49757ccb-9eb5-4c95-ad5b-8ab023669eab,e2bf847d-9cf7-4317-baee-878d937cdafe,A-Game
bf23d899-8a5b-434b-abed-aba62279bc66,e2bf847d-9cf7-4317-baee-878d937cdafe,Attitude
42794e3d-bce3-4760-813b-16c88eb6a141,e2bf847d-9cf7-4317-baee-878d937cdafe,Beauty (competition)
afcaa1ff-1d44-42db-8812-ab22f35ad413,e2bf847d-9cf7-4317-baee-878d937cdafe,Crazy
81cfc891-6a7b-454b-bf35-83f944c108a0,e2bf847d-9cf7-4317-baee-878d937cdafe,Crowning
feebb716-e52b-4f43-ac86-f3faa450ab10,e2bf847d-9cf7-4317-baee-878d937cdafe,Diva
c8c0512e-a2e6-4ed2-b18a-bfae100155c6,e2bf847d-9cf7-4317-baee-878d937cdafe,Doll
8e68e0f1-9040-40a2-a932-0764d4c3f585,e2bf847d-9cf7-4317-baee-878d937cdafe,Dressing Room
d783238c-8e26-44a2-a69b-6f35a4863f17,e2bf847d-9cf7-4317-baee-878d937cdafe,Energy
e46c0171-8aea-42b1-996d-38aef328e158,e2bf847d-9cf7-4317-baee-878d937cdafe,F-bomb
af50e0f2-baea-47b7-9317-2aaec84df636,e2bf847d-9cf7-4317-baee-878d937cdafe,Facial beauty
06272ba9-f7e3-41a0-9dfa-b991adb93f4c,e2bf847d-9cf7-4317-baee-878d937cdafe,Flipper
5d17ce74-13ed-4db8-9330-6c459134425f,e2bf847d-9cf7-4317-baee-878d937cdafe,Grand Supreme
aea8d971-f896-45f9-a48c-bd9ae4392beb,e2bf847d-9cf7-4317-baee-878d937cdafe,Higher Title
97f7eae8-4ed6-4b21-b28e-4f68c648038d,e2bf847d-9cf7-4317-baee-878d937cdafe,Look at the judges
f642797d-dfd8-496b-a405-9039cd3976ae,e2bf847d-9cf7-4317-baee-878d937cdafe,Money / Cash
18d9b26f-a48e-430f-9668-3654220b6ed4,e2bf847d-9cf7-4317-baee-878d937cdafe,Pageant Juice
cda0776b-8066-4330-a16b-5251cfa56b20,e2bf847d-9cf7-4317-baee-878d937cdafe,Pageant Mom
dcc91911-4609-4f2d-8007-679fefa0fe8d,e2bf847d-9cf7-4317-baee-878d937cdafe,Parent dancing / doing routine
b2e36708-1868-47f0-8773-3130c15f4914,e2bf847d-9cf7-4317-baee-878d937cdafe,Perfect
2f120e87-879e-425f-b71b-d868f5d5fd96,e2bf847d-9cf7-4317-baee-878d937cdafe,Personality
681a186d-8e9c-4c7b-ba24-3098c00b833c,e2bf847d-9cf7-4317-baee-878d937cdafe,Pixie Sticks
3b169d29-29f5-4ab7-8486-189b69ec68b5,e2bf847d-9cf7-4317-baee-878d937cdafe,Practice (routine)
0988e191-69d5-4e73-8502-d3a18713f411,e2bf847d-9cf7-4317-baee-878d937cdafe,Pull (a title)
d931cbee-e9c1-4980-8f79-b7c0b93ce619,e2bf847d-9cf7-4317-baee-878d937cdafe,Rock it
11c1ee08-4d0d-4a52-b067-8a9996eb3b6d,e2bf847d-9cf7-4317-baee-878d937cdafe,Sparkle
e788bab2-5843-4688-bc80-97317677ae7a,e2bf847d-9cf7-4317-baee-878d937cdafe,Talent
756cf204-0310-4931-9479-3a39eb49a3a4,e2bf847d-9cf7-4317-baee-878d937cdafe,The Judges
86741097-15d5-4996-a202-ca431a17ab89,e2bf847d-9cf7-4317-baee-878d937cdafe,Total Package
a527897e-5a71-45ee-8b11-d614de2a0dc5,e2bf847d-9cf7-4317-baee-878d937cdafe,Tough Competition
0d83064b-bf85-435e-80dc-7d80972e58d9,e2bf847d-9cf7-4317-baee-878d937cdafe,Ultimate
a02b2fe2-102e-49d3-b1cb-e2eed8ca6958,e2bf847d-9cf7-4317-baee-878d937cdafe,Work it!
ef6b9722-c0ff-45aa-a1e2-4dc0c3e84798,e2bf847d-9cf7-4317-baee-878d937cdafe,Yeah Baby
